seed,n_obs,A0_wall,A_wall,B_wall,C_wall,C_useful_recall,C_noise_fpr,C_sel_k,D_wall,D_useful_recall,D_noise_fpr,D_sel_k,E_wall,F_wall,F_bad_retained,G_wall,G_bad_retained,rho_A0,exploit_rho_A0,rho_A,exploit_rho_A,rho_B,exploit_rho_B,rho_C,exploit_rho_C,rho_D,exploit_rho_D,rho_E,exploit_rho_E,rho_F,exploit_rho_F,rho_G,exploit_rho_G,var_A0,var_A,var_B,var_C,var_D,mse_A0,mse_A,mse_B,mse_C,mse_D,total_wall
0,3680,0.07068467140197754,0.07570576667785645,0.07100582122802734,0.16344165802001953,1.0,1.0,8,0.18553853034973145,1.0,1.0,8,0.07206177711486816,0.18271803855895996,1.0,0.8060259819030762,0.0,0.32040668706651526,0.26360623319338733,0.27544129842435733,0.21453138620479348,0.018531548009473698,-0.05736903548139684,0.018531548009473698,-0.05736903548139684,0.018531548009473698,-0.05736903548139684,0.18021599952997516,0.152501008781792,0.18021599952997516,0.152501008781792,0.32040668706651526,0.26360623319338733,0.03486199159187882,0.03396753296010245,0.027516235985702027,0.027516235985702027,0.027516235985702027,0.1196780790633497,0.1275456496105314,0.1571994192497597,0.1571994192497597,0.1571994192497597,1.6728780269622803
1,3680,0.06958723068237305,0.06862902641296387,0.06854510307312012,0.1862037181854248,1.0,1.0,8,0.3169827461242676,1.0,0.0,4,0.0708773136138916,0.18960976600646973,1.0,0.7877013683319092,0.0,0.44022329069398974,0.3173545913429529,0.38129127766813736,0.24445326839152334,0.05800448449929352,-0.08494063397886188,0.05800448449929352,-0.08494063397886188,0.06005988000882259,-0.08158658076702903,0.21482422708364035,0.11271513232946254,0.21482422708364035,0.11271513232946254,0.44022329069398974,0.3173545913429529,0.042071070445623464,0.04042569220706288,0.0292436768239555,0.0292436768239555,0.029520340504393502,0.1769263684705194,0.20023645853525046,0.283144791068987,0.283144791068987,0.28314926965936155,1.803633451461792
2,3680,0.07013559341430664,0.07002401351928711,0.07062602043151855,0.1640605926513672,1.0,1.0,8,0.2886664867401123,1.0,0.0,4,0.07091665267944336,0.1936042308807373,1.0,0.7890911102294922,0.0,0.47692279167786344,0.3571312393603416,0.40609929467379025,0.2777977119772786,0.07480715015656259,-0.052992158626833555,0.07480715015656259,-0.052992158626833555,0.07611850019696738,-0.05312799343759096,0.23642658799529592,0.07855485874061727,0.23642658799529592,0.07855485874061727,0.47692279167786344,0.3571312393603416,0.04589283444613102,0.041902812249777946,0.030201306663191443,0.03020130666319145,0.03043556698448213,0.14072653912142985,0.1721282118259124,0.2479757628660813,0.2479757628660813,0.24818200373139176,1.76112699508667
3,3680,0.07006120681762695,0.06982684135437012,0.06918597221374512,0.1898822784423828,1.0,1.0,8,0.3031303882598877,0.75,0.25,4,0.09596776962280273,0.19187188148498535,1.0,0.8052434921264648,0.0,0.3164550591720821,0.22682053671881247,0.25474166452362307,0.15899136276453932,-0.002090310264552711,-0.10130829191503027,-0.002090310264552711,-0.10130829191503027,0.04983900686062897,-0.05453339494894938,0.2064049552946661,0.12332417548491424,0.2064049552946661,0.12332417548491424,0.3164550591720821,0.22682053671881247,0.032168812955757915,0.030968480171003263,0.024034514286845027,0.024034514286845023,0.025564974830699985,0.16122252081891722,0.17782573980687674,0.22497241256520964,0.22497241256520964,0.2195262822243632,1.8412415981292725
4,3680,0.06995463371276855,0.0722970962524414,0.07265472412109375,0.16406464576721191,1.0,1.0,8,0.3011038303375244,1.0,0.0,4,0.07241201400756836,0.19940829277038574,1.0,0.8080484867095947,0.0,0.42553694077398074,0.3139724735473289,0.3501940297213658,0.22395583804967564,0.0512526932519651,-0.0729059784496031,0.0512526932519651,-0.0729059784496031,0.057141969654502855,-0.06717881569554121,0.3874911749946785,0.29650142990513534,0.3874911749946785,0.29650142990513534,0.42553694077398074,0.3139724735473289,0.04187303109860879,0.03890388478109482,0.027786293501390995,0.027786293501391,0.02789281374572075,0.1530959881901796,0.17660701889323466,0.24959765115175256,0.24959765115175256,0.24950694552549704,1.8059625625610352
5,3680,0.0688467025756836,0.0836794376373291,0.07160258293151855,0.172119140625,1.0,1.0,8,0.3158605098724365,1.0,0.0,4,0.0741434097290039,0.19437527656555176,1.0,0.8129596710205078,0.0,0.3635285766434255,0.2699994064606593,0.3130367842595616,0.2083769060073068,0.046660319404994786,-0.06255412767260764,0.046660319404994786,-0.06255412767260764,0.04282932800895359,-0.06424915797754585,0.14843610792463807,0.04751725117174832,0.14843610792463807,0.04751725117174832,0.3635285766434255,0.2699994064606593,0.03559991965562139,0.03428435537528225,0.02720574802448732,0.027205748024487313,0.02758199898335734,0.15013341622140028,0.16167943903142865,0.21228297765699414,0.21228297765699408,0.21234916775025264,1.838775634765625
6,3680,0.07132434844970703,0.07716751098632812,0.07432794570922852,0.16866493225097656,1.0,1.0,8,0.2963430881500244,1.0,0.0,4,0.07080531120300293,0.20134711265563965,1.0,0.8123979568481445,0.0,0.4131448514461451,0.32419357119338743,0.3422613973799968,0.2490926767903173,0.10333804321339032,0.013761852072093602,0.10333804321339032,0.013761852072093602,0.1058730952195199,0.017294340978875767,0.19874802912227676,0.11531585817773359,0.19874802912227676,0.11531585817773359,0.4131448514461451,0.32419357119338743,0.037878457970993276,0.035984675262702256,0.02774438453901667,0.02774438453901667,0.027982906655350356,0.15338282847945323,0.1764312784152394,0.23232185946509135,0.23232185946509137,0.23199835733281382,1.8238811492919922
7,3680,0.06922674179077148,0.07485055923461914,0.10631704330444336,0.18160152435302734,1.0,1.0,8,0.20813798904418945,1.0,1.0,8,0.08718729019165039,0.22294139862060547,1.0,0.8841066360473633,0.0,0.3890329624182393,0.26488928298708864,0.3081205459608204,0.15768231200176985,0.03586347319461822,-0.10149540258371148,0.03586347319461822,-0.10149540258371148,0.03586347319461822,-0.10149540258371148,0.23231892726461917,0.13519583072220315,0.23231892726461917,0.13519583072220315,0.3890329624182393,0.26488928298708864,0.04056493992068953,0.037126615897832525,0.02801905912736275,0.02801905912736275,0.02801905912736275,0.16449938622005,0.19136030314652203,0.25837988275847207,0.25837988275847207,0.25837988275847207,1.8797590732574463
8,3680,0.07793974876403809,0.07823562622070312,0.07501745223999023,0.1807084083557129,1.0,1.0,8,0.29953432083129883,1.0,0.0,4,0.07028484344482422,0.19922614097595215,1.0,0.8406269550323486,0.0,0.4334999128335082,0.34056461908139907,0.37140799408231023,0.27314577083195896,0.08620067749072231,-0.02186185005655305,0.08620067749072231,-0.02186185005655305,0.0902531969876031,-0.015966798635109414,0.2859732740793822,0.18744631201366252,0.2859732740793822,0.18744631201366252,0.4334999128335082,0.34056461908139907,0.04112793390935347,0.03881951002318262,0.030495512983952686,0.030495512983952686,0.030852329046302588,0.14148487098895896,0.15879149000386725,0.206893304758564,0.206893304758564,0.20705975635025947,1.8709514141082764
9,3680,0.08212924003601074,0.07182192802429199,0.07662630081176758,0.19559788703918457,1.0,1.0,8,0.304218053817749,1.0,0.0,4,0.07170653343200684,0.1898789405822754,1.0,0.8086512088775635,0.0,0.43637038727927857,0.30002756251241913,0.33851492377025416,0.1759734659182768,0.023104176960499618,-0.1551716033476701,0.023104176960499618,-0.1551716033476701,0.029421098914223356,-0.15093894155679052,0.23845742278060145,0.14148364659873613,0.23845742278060145,0.14148364659873613,0.43637038727927857,0.30002756251241913,0.04477633928861528,0.04159281902500009,0.028512098728237522,0.028512098728237522,0.02887365474688789,0.12790100018750708,0.14976059424330607,0.22222322919461698,0.22222322919461698,0.22224023401418563,1.8450038433074951
10,3680,0.07035279273986816,0.07726478576660156,0.09012413024902344,0.18084454536437988,1.0,1.0,8,0.33777332305908203,1.0,0.0,4,0.07290029525756836,0.18348264694213867,1.0,0.8652212619781494,0.0,0.39240572775352206,0.2852384959475619,0.3421542452007863,0.22148551435278038,-0.009751089099565324,-0.12951446666624486,-0.009751089099565324,-0.12951446666624486,-0.006217234308345927,-0.12524090020436182,0.32549364647775136,0.23062485368831975,0.32549364647775136,0.23062485368831975,0.39240572775352206,0.2852384959475619,0.04376567299221742,0.040497040868593105,0.028744855473815348,0.028744855473815355,0.028984760811374417,0.15343443704096735,0.17692959821123946,0.2506213083286763,0.2506213083286763,0.2504093003486751,1.9246716499328613
11,3680,0.07306337356567383,0.07722878456115723,0.07767105102539062,0.15984773635864258,1.0,0.75,7,0.2933382987976074,1.0,0.0,4,0.07712101936340332,0.22186827659606934,1.0,0.8901660442352295,0.0,0.37491584340082235,0.28178994017351056,0.33658257267325664,0.23545532400799318,0.05801917277554484,-0.045803062615542685,0.05737890840583563,-0.04602655325229254,0.05748124475676697,-0.04615631216024157,0.20921715821825915,0.1359787867084134,0.20921715821825915,0.1359787867084134,0.37491584340082235,0.28178994017351056,0.038030806960979976,0.037253964845399154,0.028849483628962728,0.02885225528955007,0.029019618865868176,0.1428760780714722,0.15135996460637494,0.20268256635006274,0.20268592725026402,0.20246068076488924,1.9202914237976074
12,3680,0.06930088996887207,0.06891918182373047,0.06864595413208008,0.17722415924072266,1.0,0.75,7,0.2960999011993408,1.0,0.0,4,0.07177352905273438,0.18390941619873047,1.0,0.8935091495513916,0.0,0.3354400174140351,0.20045548759205783,0.27758530517422225,0.13315927571753272,-0.01650817775800078,-0.13613573894217426,-0.016391634713646037,-0.1356976701107716,-0.017403199443675518,-0.13716364080695662,0.22181319787371553,0.10743735583213256,0.22181319787371553,0.10743735583213256,0.3354400174140351,0.20045548759205783,0.03529661136925992,0.03402678183598332,0.02483064253485549,0.02483424176702326,0.024883678398586427,0.16388865151344276,0.1813617116097774,0.23921126737922202,0.23922036688595047,0.2392640166661368,1.8742718696594238
13,3680,0.08404946327209473,0.07842516899108887,0.07464098930358887,0.17777347564697266,1.0,1.0,8,0.31058692932128906,1.0,0.0,4,0.07493257522583008,0.21026039123535156,1.0,0.8331100940704346,0.0,0.42430866377139076,0.3230997128878212,0.3791354721389887,0.2765520171095421,0.12855805432832199,0.09309209562593386,0.12855805432832199,0.09309209562593386,0.11909109909722485,0.08359395599566402,0.265229575349894,0.20065772126680922,0.265229575349894,0.20065772126680922,0.42430866377139076,0.3230997128878212,0.037347768973872264,0.03590459904993197,0.027565633884834177,0.027565633884834177,0.028309155869881364,0.1851014052333274,0.2049414727893302,0.25914478241044214,0.25914478241044214,0.2596127602619945,1.899200201034546
14,3680,0.0703115463256836,0.0701441764831543,0.06899595260620117,0.1602950096130371,1.0,1.0,8,0.32748842239379883,1.0,0.0,4,0.08116292953491211,0.200270414352417,1.0,0.808927059173584,0.0,0.4176599312492355,0.3116749689755825,0.38492217139918117,0.2782133431213186,0.07963236930082843,-0.04444898886616678,0.07963236930082843,-0.04444898886616678,0.076652334761708,-0.048832957544613996,0.2637410028288175,0.1263125513432262,0.2637410028288175,0.1263125513432262,0.4176599312492355,0.3116749689755825,0.03879940753759694,0.038228544171204096,0.030282906821619097,0.0302829068216191,0.03035027697246679,0.15323327740212137,0.15996616822612691,0.21263273565872146,0.21263273565872146,0.21266831742676598,1.8372607231140137
15,3680,0.07015752792358398,0.07350325584411621,0.07153749465942383,0.17053937911987305,1.0,1.0,8,0.29807567596435547,1.0,0.0,4,0.07667422294616699,0.20434999465942383,1.0,0.8780479431152344,0.0,0.4109760431806427,0.3001531725005681,0.33911545755666067,0.2146074294729338,0.010321523959227273,-0.11155457135146284,0.010321523959227273,-0.11155457135146284,0.009447210335152754,-0.11229469195472182,0.27274467537946323,0.1660300055451659,0.27274467537946323,0.1660300055451659,0.4109760431806427,0.3001531725005681,0.036085210404942406,0.034397124642740896,0.02455291071525524,0.02455291071525524,0.0247576751612903,0.11816720663991555,0.13184434361236594,0.1840404056088931,0.1840404056088931,0.18401121277821186,1.8882896900177002
16,3680,0.07304739952087402,0.07822060585021973,0.06918597221374512,0.17831683158874512,1.0,1.0,8,0.31583142280578613,1.0,0.0,4,0.08679080009460449,0.1962594985961914,1.0,0.8013784885406494,0.0,0.4945224769153272,0.3465702693777422,0.37730160473029917,0.20725776558677442,0.0827891447377926,-0.038303937888784806,0.0827891447377926,-0.038303937888784806,0.07860033730061268,-0.047206814980556545,0.19321729113511962,0.056480364472061416,0.19321729113511962,0.056480364472061416,0.4945224769153272,0.3465702693777422,0.03871575823394827,0.03398974440076199,0.02402282088775651,0.02402282088775651,0.02440448490666245,0.16117530849469255,0.20360835177198333,0.27901608466916356,0.27901608466916356,0.2786050091444762,1.845773458480835
17,3680,0.07274556159973145,0.08009839057922363,0.07562637329101562,0.2139263153076172,1.0,1.0,8,0.314267635345459,1.0,0.0,4,0.07447457313537598,0.1975400447845459,1.0,0.8445367813110352,0.0,0.41873073066709826,0.3371792578526439,0.40930374681071774,0.3278202898590153,0.10651793462609428,-0.0081323484102915,0.10651793462609428,-0.0081323484102915,0.1007625382497161,-0.017131186063261878,0.2738636330801171,0.17875251394102304,0.2738636330801171,0.17875251394102304,0.41873073066709826,0.3371792578526439,0.04165891130350335,0.041549267288672656,0.03213000693669445,0.03213000693669445,0.03237813883611062,0.15109819034553382,0.15450086108070937,0.21970830901294186,0.21970830901294192,0.21974705529808314,1.9218080043792725
18,3680,0.07338190078735352,0.07472825050354004,0.07641792297363281,0.1827843189239502,1.0,1.0,8,0.3228137493133545,1.0,0.0,4,0.07136774063110352,0.23078417778015137,1.0,0.8166394233703613,0.0,0.3959140586548621,0.32523750935120965,0.3461737762739551,0.26694673174003675,0.08655849353186104,-0.012788490098929463,0.08655849353186104,-0.012788490098929463,0.08473088669993442,-0.012673123307276688,0.1383616359561297,0.05145293912338137,0.1383616359561297,0.05145293912338137,0.3959140586548621,0.32523750935120965,0.03522583626176997,0.03426436836143483,0.027462078947375713,0.02746207894737571,0.027814205174137276,0.1369845338331684,0.14548134932500978,0.18622856397699758,0.18622856397699758,0.18631445841213526,1.9013111591339111
19,3680,0.07176756858825684,0.06883525848388672,0.06949806213378906,0.16984891891479492,1.0,0.25,5,0.26824069023132324,0.0,0.0,0,0.07671976089477539,0.21610236167907715,1.0,0.8581235408782959,0.0,0.46260581578686305,0.34527288876198275,0.4124583551249563,0.28411538519617763,0.06987164854470485,-0.04712353815720293,0.06947506508591919,-0.04671650785849897,0.46260581578686305,0.34527288876198275,0.24883456955645258,0.15967462286206136,0.24883456955645258,0.15967462286206136,0.46260581578686305,0.34527288876198275,0.03897821983756415,0.03713343847093762,0.025330212508919883,0.02533428365671069,0.03897821983756415,0.17363402371331896,0.1958634075995009,0.28626467873187883,0.28625349180208604,0.17363402371331896,1.846693515777588
